Character table of Sysmmetric Group (n=11)
56X56	[11]	[10 1]	[9 2]	[9 1 1]	[8 3]	[8 2 1]	[8 1 1 1]	[7 4]	[7 3 1]	[7 2 2]	[7 2 1 1]	[7 1 1 1 1]	[6 5]	[6 4 1]	[6 3 2]	[6 3 1 1]	[6 2 2 1]	[6 2 1 1 1]	[6 1 1 1 1 1]	[5 5 1]	[5 4 2]	[5 4 1 1]	[5 3 3]	[5 3 2 1]	[5 3 1 1 1]	[5 2 2 2]	[5 2 2 1 1]	[5 2 1 1 1 1]	[5 1 1 1 1 1 1]	[4 4 3]	[4 4 2 1]	[4 4 1 1 1]	[4 3 3 1]	[4 3 2 2]	[4 3 2 1 1]	[4 3 1 1 1 1]	[4 2 2 2 1]	[4 2 2 1 1 1]	[4 2 1 1 1 1 1]	[4 1 1 1 1 1 1 1]	[3 3 3 2]	[3 3 3 1 1]	[3 3 2 2 1]	[3 3 2 1 1 1]	[3 3 1 1 1 1 1]	[3 2 2 2 2]	[3 2 2 2 1 1]	[3 2 2 1 1 1 1]	[3 2 1 1 1 1 1 1]	[3 1 1 1 1 1 1 1 1]	[2 2 2 2 2 1]	[2 2 2 2 1 1 1]	[2 2 2 1 1 1 1 1]	[2 2 1 1 1 1 1 1 1]	[2 1 1 1 1 1 1 1 1 1]	[1 1 1 1 1 1 1 1 1 1 1]	
[11]	1	-1	0	1	0	0	-1	0	0	0	0	1	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	-1	1	
[10 1]	1	0	-1	0	0	1	0	0	0	0	-1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	1	0	-1	
[9 2]	1	-1	1	0	-1	0	0	0	1	-1	0	0	0	0	0	-1	1	0	0	0	0	0	0	0	1	0	-1	0	0	0	0	0	0	0	0	-1	0	1	0	0	0	0	0	0	1	0	0	-1	0	0	0	0	1	-1	1	-1	
[9 1 1]	1	1	-1	0	-1	0	0	0	1	1	0	0	0	0	0	-1	-1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	-1	0	-1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	-1	-1	1	1	
[8 3]	1	-1	0	1	1	-1	0	-1	0	1	0	0	0	1	-1	0	0	0	0	0	0	-1	0	1	0	-1	0	0	0	0	0	1	0	0	-1	0	1	0	0	0	0	0	0	1	-1	0	-1	0	1	-1	0	1	-1	0	1	-1	
[8 2 1]	1	0	0	-1	0	1	0	-1	0	-1	0	0	0	1	0	0	0	0	0	0	0	-1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	-1	0	0	0	0	0	0	0	-1	0	1	0	1	-1	0	-1	0	0	0	1	
[8 1 1 1]	1	2	0	1	-2	-1	0	-1	0	1	0	0	0	1	2	0	0	0	0	0	0	-1	0	-2	0	-1	0	0	0	0	0	1	0	0	2	0	1	0	0	0	0	0	0	-2	-1	0	-1	0	1	-1	0	1	2	0	-2	-1	
[7 4]	1	-1	0	1	0	0	-1	1	-1	0	1	0	-1	0	1	0	-1	0	0	1	-1	0	0	0	0	1	0	0	0	0	1	-1	0	-1	0	1	0	0	-1	1	0	0	1	-1	0	-1	0	1	0	-1	1	-1	0	0	1	-1	
[7 3 1]	1	0	-1	0	1	0	1	0	0	0	-1	0	-1	0	0	0	1	0	0	1	0	0	-1	0	0	-1	0	0	0	0	0	-1	1	0	0	1	0	0	-1	1	0	-1	0	0	0	1	0	0	0	0	-1	0	1	-1	0	1	
[7 2 2]	1	-1	2	-1	-2	0	1	1	1	0	-1	0	-1	0	-1	0	1	0	0	1	-1	0	2	0	0	-1	0	0	0	0	1	-1	-2	1	0	1	0	0	-1	1	0	2	-1	-1	0	1	0	1	0	-1	-1	1	-2	2	-1	1	
[7 2 1 1]	1	1	0	-1	0	0	-1	-1	1	0	1	0	-1	0	-1	0	-1	0	0	1	1	0	0	0	0	1	0	0	0	0	-1	-1	0	1	0	1	0	0	-1	1	0	0	-1	1	0	-1	0	-1	0	1	1	1	0	0	-1	-1	
[7 1 1 1 1]	1	3	2	3	-2	0	1	-3	-3	0	-1	0	-1	0	3	0	1	0	0	1	3	0	2	0	0	-1	0	0	0	0	-3	-1	-2	-3	0	1	0	0	-1	1	0	2	3	3	0	1	0	-3	0	3	-1	-3	-2	2	3	1	
[6 5]	1	-1	0	1	0	0	-1	0	0	0	0	1	1	-1	0	1	0	-1	0	-1	1	1	0	-1	-1	0	1	1	-1	0	-1	0	0	1	1	0	-1	-1	0	1	0	0	-1	0	0	1	1	0	0	-1	-1	0	0	0	1	-1	
[6 4 1]	1	0	-1	0	0	1	0	1	-1	0	0	-1	0	0	0	0	0	1	0	-1	0	1	1	0	-1	0	-1	1	-1	-1	0	0	0	0	0	0	1	0	0	0	-1	1	0	0	0	-1	0	-1	1	0	0	1	0	-1	0	1	
[6 3 2]	1	-1	1	0	0	-1	1	-1	1	0	0	-1	1	0	0	-1	0	1	0	-1	0	1	-1	1	-1	0	-1	1	-1	1	-1	0	0	-1	1	0	1	-1	0	1	1	-1	0	0	0	-1	0	1	-1	0	1	-1	0	1	-1	1	
[6 3 1 1]	1	1	-1	0	0	-1	1	1	1	0	0	1	-1	0	0	-1	0	-1	0	-1	0	1	-1	1	-1	0	1	1	-1	-1	1	0	0	-1	-1	0	-1	1	0	-1	1	1	0	0	0	1	0	-1	1	0	1	-1	0	1	-1	-1	
[6 2 2 1]	1	0	1	-2	0	1	0	-1	-1	0	0	1	0	2	0	0	0	-1	0	-1	-2	1	1	0	-1	0	1	1	-1	1	0	0	0	0	0	0	-1	0	0	0	-1	-1	2	0	0	1	-2	1	-1	2	0	1	0	-1	0	-1	
[6 2 1 1 1]	1	2	1	0	0	-1	-2	-1	1	0	0	-1	-2	0	0	2	0	1	0	-1	0	1	-1	-2	-1	0	-1	1	-1	1	2	0	0	2	-2	0	1	2	0	-2	1	-1	0	0	0	-1	0	1	-1	0	-2	-1	0	1	2	1	
